Fisher's Iris Data
1
4
1
Sample Number,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Classification
98,0.099074,-0.064167,0.091751,0.042222,1
99,-0.206481,-0.230833,-0.128588,-0.041111,1
100,-0.039815,-0.105833,0.057853,0.042222,1
101,0.126852,0.1025,0.379887,0.542222,2
102,-0.012037,-0.1475,0.227345,0.292222,2
103,0.349074,-0.0225,0.362938,0.375556,2
104,0.126852,-0.064167,0.31209,0.250556,2
105,0.182407,-0.0225,0.345989,0.417222,2
106,0.487963,-0.0225,0.481582,0.375556,2
107,-0.262037,-0.230833,0.12565,0.208889,2
108,0.40463,-0.064167,0.430734,0.250556,2
109,0.237963,-0.230833,0.345989,0.250556,2
110,0.376852,0.2275,0.396836,0.542222,2
111,0.182407,0.060833,0.227345,0.333889,2
112,0.15463,-0.1475,0.261243,0.292222,2
113,0.265741,-0.0225,0.295141,0.375556,2
114,-0.039815,-0.230833,0.210395,0.333889,2
115,-0.012037,-0.105833,0.227345,0.500556,2
116,0.15463,0.060833,0.261243,0.458889,2
117,0.182407,-0.0225,0.295141,0.250556,2
118,0.515741,0.310833,0.498531,0.417222,2
119,0.515741,-0.189167,0.532429,0.458889,2
120,0.043519,-0.355833,0.210395,0.125556,2
121,0.293519,0.060833,0.32904,0.458889,2
122,-0.067593,-0.105833,0.193446,0.333889,2
123,0.515741,-0.105833,0.498531,0.333889,2
124,0.126852,-0.1475,0.193446,0.250556,2
125,0.237963,0.1025,0.32904,0.375556,2
126,0.376852,0.060833,0.379887,0.250556,2
127,0.099074,-0.105833,0.176497,0.250556,2
128,0.071296,-0.0225,0.193446,0.250556,2
129,0.15463,-0.105833,0.31209,0.375556,2
130,0.376852,-0.0225,0.345989,0.167222,2
131,0.432407,-0.105833,0.396836,0.292222,2
132,0.571296,0.310833,0.447684,0.333889,2
133,0.15463,-0.105833,0.31209,0.417222,2
134,0.126852,-0.105833,0.227345,0.125556,2
135,0.071296,-0.189167,0.31209,0.083889,2
136,0.515741,-0.0225,0.396836,0.458889,2
137,0.126852,0.144167,0.31209,0.500556,2
138,0.15463,0.019167,0.295141,0.250556,2
139,0.043519,-0.0225,0.176497,0.250556,2
140,0.293519,0.019167,0.278192,0.375556,2
141,0.237963,0.019167,0.31209,0.500556,2
142,0.293519,0.019167,0.227345,0.458889,2
143,-0.012037,-0.1475,0.227345,0.292222,2
144,0.265741,0.060833,0.362938,0.458889,2
145,0.237963,0.1025,0.32904,0.542222,2
146,0.237963,-0.0225,0.244294,0.458889,2
147,0.126852,-0.230833,0.210395,0.292222,2
148,0.182407,-0.0225,0.244294,0.333889,2
149,0.099074,0.144167,0.278192,0.458889,2
150,0.015741,-0.0225,0.227345,0.250556,2
